actor;period;mstrat
FI001;0;0
FI002;0;0
FI003;0;0
FI005;0;1
FI006;0;0
FI007;0;1
FI009;0;0
FI011;0;1
FI013;0;1
FI014;0;1
FI015;0;1
FI016;0;1
FI017;0;0
FI018;0;1
FI020;0;1
FI021;0;1
FI022;0;0
FI023;0;0
FI024;0;0
FI026;0;0
FI027;0;1
FI029;0;1
FI030;0;1
FI031;0;0
FI032;0;1
FI033;0;0
FI034;0;1
FI035;0;1
FI036;0;1
FI037;0;0
FI038;0;0
FI039;0;1
FI040;0;0
FI041;0;1
FI042;0;1
FI045;0;0
FI047;0;0
FI048;0;1
FI049;0;0
FI050;0;0
FI051;0;0
FI054;0;0
FI055;0;0
FI057;0;0
FI058;0;1
FI059;0;0
FI060;0;0
FI061;0;1
FI062;0;1
FI063;0;0
FI064;0;0
FI065;0;1
FI066;0;0
FI067;0;1
FI068;0;1
FI070;0;1
FI071;0;0
FI072;0;0
FI075;0;1
FI076;0;0
FI077;0;0
FI078;0;0
FI079;0;0
FI080;0;0
FI081;0;0
FI082;0;0
FI083;0;0
FI084;0;1
FI086;0;0
FI087;0;0
FI088;0;0
FI089;0;0
FI090;0;0
FI092;0;1
FI093;0;1
FI095;0;1
FI096;0;1
